,Cities,Latitude,Cloudiness,Humidity,Temperature,Wind Speed
0,punta arenas,-53.15,40,66,285.61,4.6
1,hermanus,-34.42,46,84,289.82,6.6
2,klaksvik,62.23,100,87,280.15,12.9
3,sao joao da barra,-21.64,8,78,299.63,3.1
4,hualmay,-11.1,83,65,298.23,3.8
5,cape town,-33.93,20,77,289.74,7.7
6,kyra,49.58,19,67,268.74,1.9
7,bredasdorp,-34.53,28,59,290.53,3.6
8,biak,-0.91,98,72,299.93,2.12
9,rikitea,-23.12,100,73,299.09,3.61
10,san vicente,-26.62,73,46,300.88,1.03
11,vista hermosa,19.52,40,10,301.21,7.2
12,agadez,19.75,10,13,302.18,1.12
13,saskylakh,71.92,96,89,251.53,5.89
14,kodiak,57.79,1,34,276.15,2.1
15,sakakah,29.97,88,13,296.15,3.6
16,hilo,19.73,90,73,295.78,2.48
17,cap malheureux,-19.98,20,94,298.51,1.0
18,bambous virieux,-20.34,20,94,298.41,1.0
19,hobart,-42.88,20,87,284.75,1.5
20,mataura,-46.19,23,98,283.71,0.45
21,guerrero negro,27.98,100,21,299.44,2.88
22,hithadhoo,-0.6,50,70,301.5,4.34
23,uthal,25.81,22,85,296.38,2.57
24,bethel,41.37,90,61,280.98,2.1
25,pevek,69.7,49,92,254.88,1.86
26,saiha,22.48,18,33,289.59,1.65
27,ushuaia,-54.8,40,66,283.15,5.1
28,albany,42.6,90,69,280.04,2.6
29,port elizabeth,-33.92,26,77,290.15,5.7
30,tilichiki,60.47,15,93,262.78,1.81
31,saint marys,30.73,75,58,301.24,8.2
32,santiago,-33.46,4,26,301.08,3.6
33,bluff,-46.6,31,98,283.71,0.45
34,tiksi,71.69,100,87,252.47,1.89
35,avarua,-21.21,4,78,300.46,4.36
36,narsaq,60.92,20,74,275.15,2.6
37,sawakin,19.11,0,51,297.94,0.55
38,jamestown,42.1,90,81,279.27,3.1
39,pochutla,15.74,20,46,305.27,5.1
40,marietta,33.95,90,71,286.34,2.1
41,maiduguri,11.85,83,24,306.49,2.36
42,kununurra,-15.77,13,88,297.15,1.69
43,verkhnyaya inta,65.98,2,91,260.71,2.89
44,bathsheba,13.22,20,57,300.15,6.7
45,kapaa,22.08,40,73,296.86,6.2
46,qaanaaq,77.48,91,73,259.72,1.27
47,atuona,-9.8,1,80,301.03,6.91
48,upernavik,72.79,67,89,253.95,11.11
49,coquimbo,-29.95,40,82,290.15,6.2
50,severo-kurilsk,50.68,100,85,274.87,6.74
51,port alfred,-33.59,99,79,293.52,7.9
52,atbasar,51.8,14,91,267.24,4.18
53,mahibadhoo,3.78,36,75,301.74,3.56
54,ponta do sol,32.67,20,67,287.04,7.7
55,shellbrook,53.22,90,66,263.15,5.7
56,cherskiy,68.75,80,91,254.23,4.02
57,boa vista,2.82,75,46,305.15,5.7
58,beckum,51.75,0,55,274.65,1.5
59,busselton,-33.65,98,73,284.6,2.79
60,yagodnoye,62.55,76,77,254.91,1.65
61,roccastrada,43.01,0,56,278.47,6.2
62,vilyuysk,63.76,92,94,261.17,3.11
63,puerto ayora,-0.74,20,70,301.37,5.1
64,constantine,36.37,75,81,284.15,2.6
65,codrington,-38.27,4,84,286.86,3.25
66,new norfolk,-42.78,20,87,284.58,1.5
67,arraial do cabo,-22.97,75,83,299.15,4.1
68,havre-saint-pierre,50.23,90,64,276.15,13.9
69,butaritari,3.07,82,78,301.79,8.13
70,luwuk,-0.95,99,71,300.13,1.66
71,komsomolskiy,40.43,100,62,287.15,2.1
72,imbituba,-28.24,40,78,299.15,0.5
73,katherine,-14.47,0,88,296.15,1.23
74,hamilton,39.18,90,65,280.59,3.1
75,bagdarin,54.43,32,86,266.6,2.49
76,sao filipe,14.9,79,78,296.71,5.99
77,geraldton,-28.77,65,82,289.67,4.1
78,tuatapere,-46.13,51,98,283.71,0.45
79,san andres,12.58,20,62,303.15,5.7
80,villa del rosario,7.83,40,62,302.15,3.6
81,dickinson,29.46,40,47,297.11,4.6
82,vostok,46.49,100,80,271.9,1.9
83,kiama,-34.68,75,100,292.93,2.1
84,san patricio,19.22,5,79,302.15,5.1
85,hasaki,35.73,75,93,283.0,3.1
86,myitkyina,25.38,0,35,293.51,1.12
87,alofi,-19.06,75,84,303.15,2.6
88,denpasar,-8.65,20,94,300.15,0.5
89,yellowknife,62.46,20,42,259.5,3.1
90,lavrentiya,65.58,0,93,264.13,3.25
91,esmeraldas,-19.76,40,61,299.63,3.1
92,provideniya,64.38,75,79,268.15,1.0
93,touros,-5.2,40,88,300.15,3.1
94,bulaevo,54.91,83,94,271.52,3.76
95,barrow,71.29,1,66,261.15,7.2
96,cidreira,-30.18,99,81,296.95,6.05
97,salinopolis,-0.61,100,82,300.76,3.09
98,pasaquina,13.58,10,28,308.15,4.1
99,raudeberg,61.99,75,93,278.45,2.6
100,novyy urengoy,66.08,79,93,261.23,4.51
101,castro,-24.79,3,52,294.71,0.73
102,rumuruti,0.27,41,53,289.84,4.2
103,thompson,55.74,75,67,267.15,9.3
104,aksarka,66.56,11,92,260.01,4.03
105,souillac,-20.52,20,94,298.41,1.0
106,trabzon,40.92,40,87,284.15,0.5
107,dingle,11.0,94,83,298.19,3.18
108,ancud,-41.87,40,48,289.15,5.7
109,meadow lake,34.8,75,16,290.88,2.57
110,lima,-12.04,83,65,298.15,2.1
111,ekibastuz,51.67,0,79,273.85,5.82
112,la palma,33.85,1,38,296.55,2.1
113,saint-philippe,-21.36,75,83,295.34,3.1
114,zhuhai,22.28,40,93,291.16,6.7
115,harper,4.38,61,84,301.03,3.35
116,port lincoln,-34.73,100,76,290.13,2.52
117,salalah,17.02,20,88,300.15,2.1
118,mahebourg,-20.41,20,94,298.37,1.0
119,papara,-3.98,75,88,299.4,2.1
120,sorland,67.67,75,74,274.15,9.3
121,quatre cocos,-20.21,20,94,298.44,1.0
122,beringovskiy,63.05,97,94,272.16,7.44
123,pangnirtung,66.15,5,47,249.15,6.7
124,coihaique,-45.58,20,50,286.15,4.1
125,puerto colombia,10.99,2,62,304.15,7.7
126,cameta,-2.24,100,94,298.73,0.92
127,hami,42.8,0,35,279.61,6.19
128,faanui,-16.48,0,77,301.18,4.98
129,cabo san lucas,22.89,40,41,299.0,4.6
130,gazojak,41.19,100,50,288.07,6.68
131,broome,42.25,90,75,280.78,1.5
132,same,-4.07,59,72,294.87,1.51
133,kvam,61.67,84,87,271.69,1.87
134,san quintin,30.48,100,59,292.5,4.73
135,korla,41.76,50,34,279.41,5.59
136,bilma,18.69,0,14,304.62,3.34
137,lorengau,-2.02,86,83,300.78,4.87
138,yenagoa,4.92,100,88,299.61,1.52
139,huarmey,-10.07,53,61,299.47,3.82
140,venice,27.1,20,78,300.6,7.2
141,plouzane,48.38,3,75,279.55,8.2
142,dharchula,29.85,100,40,285.8,1.91
143,chokurdakh,70.63,90,91,251.84,2.43
144,secovce,48.7,0,83,272.22,2.6
145,saldanha,-33.01,0,77,289.15,7.2
146,neuquen,-38.95,95,63,292.15,2.1
147,goulburn,-34.75,69,95,286.59,1.67
148,stolin,51.89,33,88,272.37,2.71
149,salta,-24.79,75,69,298.15,3.1
150,constitucion,-35.33,23,57,291.02,8.35
151,yerbogachen,61.28,100,94,264.44,2.5
152,waitara,-38.92,28,64,287.89,4.02
153,luderitz,-26.65,0,63,291.15,5.1
154,shieli,44.17,100,77,287.95,6.39
155,serebryansk,49.69,0,92,266.15,1.41
156,prabumulih,-3.45,100,98,296.27,0.65
157,monrovia,6.3,20,84,300.56,3.77
158,cumra,37.57,75,87,280.15,1.5
159,brandfort,-28.7,50,100,287.15,1.5
160,samarai,-10.62,99,83,299.5,2.7
161,sola,-13.88,100,88,299.4,7.95
162,oyem,1.6,46,77,295.67,1.15
163,nisia floresta,-6.09,40,88,301.15,3.1
164,fort wellington,6.4,73,75,299.58,5.56
165,los llanos de aridane,28.66,75,68,293.15,2.6
166,miraflores,19.22,40,10,302.27,7.2
167,douglas,41.3,40,39,292.39,3.6
168,lubana,56.9,100,86,272.88,4.22
169,martapura,-3.42,99,88,297.3,0.57
170,san cristobal,7.77,40,62,302.15,3.6
171,tautira,-17.73,2,70,303.15,1.5
172,khatanga,71.97,58,89,246.96,4.12
173,payo,-3.75,100,90,296.6,0.43
174,nova odesa,47.31,48,79,274.53,4.05
175,eastbourne,50.77,0,69,275.71,2.6
176,georgetown,5.41,20,88,301.52,1.68
177,novo aripuana,-5.12,100,84,301.44,0.54
178,santa vitoria do palmar,-33.52,96,74,293.93,7.0
179,diofior,14.18,15,47,298.15,10.3
180,khalkhal,37.62,36,44,276.08,3.38
181,tres arroyos,-38.37,93,57,292.26,2.78
182,canon city,38.44,1,15,289.35,5.1
183,pervomayskoye,43.92,21,73,283.67,5.37
184,methala,10.22,20,88,301.15,1.34
185,vaini,-21.2,40,83,300.15,1.0
186,esperance,-33.87,75,100,285.15,2.1
187,namibe,-15.2,17,71,296.46,4.06
188,najran,17.49,5,33,296.15,1.0
189,tukums,56.97,100,90,273.15,4.1
190,naze,28.37,75,100,294.15,4.6
191,krasnozatonskiy,61.68,69,53,267.15,2.0
192,nador,35.17,100,82,288.77,2.1
193,pisco,-13.7,75,30,295.24,2.6
194,lagos,6.58,20,94,301.15,2.6
195,plettenberg bay,-34.05,0,80,289.13,3.72
196,kaitangata,-46.28,2,92,283.71,1.79
197,nosy varika,-20.58,46,90,297.45,2.46
198,te anau,-45.42,28,65,284.37,0.33
199,victoria,22.29,40,100,291.57,2.6
200,sitka,57.05,20,40,275.84,2.6
201,airai,-8.93,92,71,288.99,0.5
202,rio gallegos,-51.62,20,33,290.15,6.7
203,qasigiannguit,68.82,100,77,257.15,7.7
204,port hardy,50.7,75,65,281.15,6.2
205,chara,56.91,95,86,266.92,1.87
206,chuy,-33.7,84,72,293.86,6.56
207,palana,59.12,96,96,266.86,4.6
208,charters towers,-20.1,0,84,293.06,2.44
209,omboue,-1.57,34,85,300.02,3.16
210,hovd,48.01,0,62,265.96,1.99
211,tuktoyaktuk,69.45,40,60,260.15,8.7
212,nanortalik,60.14,32,89,273.81,6.73
213,altagracia de orituco,9.86,81,37,303.75,2.78
214,maybole,55.35,40,81,280.15,3.1
215,egvekinot,66.32,90,92,260.23,2.18
216,vardo,70.37,75,92,267.16,6.2
217,norman wells,65.28,5,47,263.15,9.8
218,boueni,-12.9,6,83,299.15,2.1
219,mehamn,71.04,40,85,269.44,4.1
220,mandali,33.75,87,36,293.55,4.65
221,jieshi,22.81,91,83,291.48,2.81
222,corsicana,32.1,75,59,291.54,5.1
223,royan,45.63,2,34,282.42,6.7
224,avera,33.19,90,87,287.5,2.1
225,santona,43.44,20,81,282.38,3.6
226,lazaro cardenas,17.96,0,52,302.95,4.39
227,banda aceh,5.56,87,78,299.7,1.49
